Feature ID	Taxon	Consensus
00bbb72f93b74025987648e067a627dbb792788a	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	0.8
00bc0322f7c73548da86bf31e3c72cbf9c6568d6	d__Bacteria; p__Acidobacteriota; c__Subgroup_22; o__Subgroup_22; f__Subgroup_22; g__Subgroup_22; s__uncultured_bacterium	0.8
00bdebd0c3b789b2f7ac0ae99777b0bad56426c9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9
00c09cc921541caadfc9edf441b142d1d5cbfc45	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__uncultured_bacterium	0.8
00c5536886b88a0134f5d232a541a03e65ff39cc	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.9
00c5b70b0800741b81870225506066fd33b7f2cc	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured	0.6
00c7fe404750dc0ef0f7505a0ee0cffab95b6059	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured	0.8
00c89f965410c7c79b966fb6ad80613bc328a630	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas	1.0
00cd039103e15d8cee3888d474f9901dafae99e2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Magnetospirillaceae; g__Magnetospirillum	0.6
00d3cb24307c5bf367012dde0083732d53f14848	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium	0.9
00d6ca560d586a6d78d1b24162f8f03438825149	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia	0.7
00dd112c609bcebf8b6c7da71729cd492ce9f415	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_12	1.0
00ddd0d8ca97444ac82ce4f00551c8729067aea4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	1.0
00e9afb59339c71ad88996b6de4680fa5d20ef2e	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales	1.0
00eb17bf8b57d9b8fa52074d6a00064737682394	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	0.7
00f0aa05e80b64bad996d5fad98eb89e59676707	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter	1.0
00f470783a890cb261e9b4582e59b79942d7bc6b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.7
00fbaa23b7af53720c93a6d453d7ff143fe1d3f1	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Kineosporiales; f__Kineosporiaceae	1.0
