"","logFC","logCPM","LR","PValue","FDR"
"Bra037181",-0.129817502806477,6.11604857060616,0.646664672004717,0.421307676399074,0.518336764503473
"Bra007093",0.260254857194277,1.39141535564137,0.646588572663695,0.421335000821117,0.518343847754644
"Bra037553",0.234008456769061,4.03328775924207,0.646471488295504,0.42137704660173,0.518369040181501
"Bra004015",0.174981191712773,3.29721831126716,0.645665436643397,0.42166667538281,0.518698785758545
"Bra019734",-0.164476897376123,7.64392269659093,0.644614283620266,0.422044820753015,0.519137377653818
"Bra006914",-0.135048654891906,4.43834182839069,0.644243946553701,0.422178167883349,0.519257235975475
"Bra102324",-0.178585511457743,3.74771247396912,0.644223664684146,0.422185472588698,0.519257235975475
"Bra019008",0.188494677313575,2.50868769295767,0.644104859162374,0.422228265308201,0.519283293850031
"Bra038283",0.162942767338357,3.51974222082054,0.643976062163279,0.422274664201923,0.519313783934351
"Bra033230",-0.12015020664195,5.36013778409718,0.643736797955894,0.422360878964821,0.519393233986927
"Bra019199",0.247992786393574,1.96040701335604,0.643375990499479,0.422490939571745,0.519502732227608
"Bra020013",0.117839308712639,5.98994709118115,0.64334974289795,0.422500403408127,0.519502732227608
"Bra002141",0.136819214844802,4.0946366270195,0.643309908058302,0.422514766865817,0.519502732227608
"Bra102577",-0.207667626976933,2.74552529732072,0.643093712656018,0.422592734327313,0.519572016412044
"Bra016795",-0.24208620663557,1.5602057890469,0.642778709859251,0.422706373669978,0.519685149357218
"Bra038650",0.228315392741296,2.27665631312449,0.642554641104503,0.422787235801134,0.519713700065955
"Bra007729",0.133739259960863,5.29909120822559,0.64254772738701,0.422789731197937,0.519713700065955
"Bra017413",0.255192341510933,1.64139848945408,0.642534601546239,0.422794468822899,0.519713700065955
"Bra024020",-0.131372241941164,6.51858088457381,0.64231993865004,0.422871960267936,0.519782370637733
"Bra020731",-0.560911544717481,3.14138908369942,0.64194297010209,0.423008094123336,0.519923112108022
"Bra024479",-0.239933131593184,1.65496404623311,0.64159564134212,0.423133582329971,0.520036721226154
"Bra002681",-0.205326762857511,2.69559839898895,0.641567363883695,0.423143801293945,0.520036721226154
"Bra010933",-0.119782575787824,5.03530389297665,0.641080599694033,0.423319767076479,0.520226378376852
"Bra040644",0.146361355404622,4.27327111373717,0.640366512614845,0.423578108809827,0.52051724445932
"Bra036294",-0.134465722380956,5.57884425874296,0.639858673699065,0.423761978095092,0.520700505862659
"Bra028686",-0.235004637627824,1.91621156310319,0.639834949556005,0.423770570636332,0.520700505862659
"Bra006603",-0.176029583739713,3.48872230243566,0.63947980221892,0.423899231094802,0.520831967697586
"Bra026921",0.134513892355071,5.43669873879069,0.639130793782556,0.424025724668902,0.520946383406008
"Bra033107",-0.198933185418571,2.86693752914644,0.639103267758627,0.424035703527159,0.520946383406008
"Bra024809",-0.21359932881558,3.06206985732166,0.63870069992004,0.424181684491668,0.5210990904249
"Bra029456",0.750751487506469,2.43378815974742,0.638553063511665,0.424235239966633,0.521138244689908
"Bra009721",0.168143578335437,3.13373910217345,0.637703947508052,0.424543455989878,0.521490208589427
"Bra007474",-0.128822766047968,7.09094297896795,0.636937390801622,0.424821993030713,0.5218056820412
"Bra038423",-0.276707803126232,1.24432088476331,0.636127885977577,0.425116433767936,0.522140656642404
"Bra037741",0.13968092716813,7.03691702032981,0.635943248776506,0.425183634685953,0.522196508561612
"Bra007419",-0.253799690733018,1.68243854903259,0.635841523216259,0.425220665739421,0.522215303034299
"Bra008498",-0.167134807852688,3.19597358959914,0.635495669558086,0.425346602751586,0.522343275792326
"Bra013278_Bra013279_Bra013277",0.128390817559088,5.07639549924681,0.634912534676994,0.42555906884789,0.522577491349386
"Bra037228",-0.164890219835288,3.49053438071563,0.634231014445254,0.425807584048368,0.522855948245975
"Bra102613",-0.254625687568857,2.85464212448614,0.634067187696857,0.425867355728071,0.522902627340781
"Bra002686",0.30647585492771,1.43406332420009,0.633993950232563,0.425894080270495,0.522908726703503
"Bra006557",0.137587301837353,4.08732030159186,0.633894209661281,0.425930479922746,0.522915250820228
"Bra036462",-0.156954550458238,3.37620911224025,0.633822558419737,0.425956631450635,0.522915250820228
"Bra007211",-0.127838562163692,6.78268601067327,0.633800546532854,0.425964665913224,0.522915250820228
"Bra025864",-0.373965031201493,1.17803114740775,0.633635332189471,0.426024977355356,0.522962577545259
"Bra006235",0.177496161689106,7.08039484799176,0.633468449871096,0.426085910732767,0.523010662847361
"Bra021771",-0.337438003218405,1.21583121150807,0.633346081182067,0.426130599277631,0.523038804097778
"Bra014139",0.194062415598889,2.76280535978332,0.632965400962911,0.426269667238681,0.523177078234056
"Bra027485",0.149724368624792,7.92686855858311,0.632854832922769,0.426310072132844,0.523177078234056
"Bra012418",0.132458551931757,5.19410871216892,0.632854242681753,0.426310287840166,0.523177078234056
"Bra016124",0.115667626119997,5.41468573945433,0.632799411605977,0.426330326920778,0.523177078234056
"Bra007113",0.150581980749323,3.15807181029863,0.632279219432247,0.426520511791094,0.523383742488878
"Bra020557",-0.126123840286176,4.56196146878118,0.631874120593096,0.426668706428269,0.523516515761572
"Bra027498",-0.136861978792979,6.49655792232439,0.631864362231939,0.426672277221339,0.523516515761572
"Bra006372",0.16519508007659,3.20642051112044,0.631568590992096,0.426780527598985,0.523622604538976
"Bra005344",0.134000546783859,4.37924910608291,0.631363076818018,0.426855768823646,0.523688185191807
"Bra009565",-0.137291251352946,7.24935002615532,0.631005786172659,0.426986624817784,0.523821986670952
"Bra035795",0.254781998815144,2.00398148548578,0.630746983393063,0.427081447842367,0.523911571939743
"Bra025165",-0.117146284176859,5.9467541794694,0.630507911077186,0.427169069993853,0.523992315022318
"Bra023386",0.143614128472031,8.0085697686598,0.63043301561529,0.427196525425462,0.523999249365906
"Bra020801",-0.154445855350067,5.93970215824501,0.630255672666191,0.427261547006936,0.524052259288834
"Bra027153",0.131587467106667,7.11448066294666,0.629810182125803,0.427424948878782,0.52421204335005
"Bra019238",0.17187920383403,2.93292813034956,0.629781582928963,0.427435442020925,0.52421204335005
"Bra026192",-0.139022257823641,6.37609544998269,0.629701379207977,0.427464871109216,0.524221385459684
"Bra013521",-0.208475806192232,3.0803902340633,0.629625466226303,0.427492728613632,0.524222211495824
"Bra019595",0.136471498955221,4.50994730737202,0.629580671458519,0.427509168066828,0.524222211495824
