"","logFC","logCPM","LR","PValue","FDR"
"Bra005261",-0.233768757025162,8.33752635020773,1.52149793880987,0.217392951123153,0.550618841531654
"Bra023953",-0.198466034675578,6.88698727226582,1.52086764227981,0.217488240314377,0.550802146229265
"Bra032695",-0.207054213441457,5.10539951617133,1.52066834654645,0.217518380506169,0.550820435895612
"Bra033160",0.578399573829083,1.91907694527044,1.5204802325468,0.217546834212881,0.550834451482553
"Bra014712",0.530429615862453,1.2753106661422,1.52022395281963,0.217585605656294,0.550874586152255
"Bra014241",-0.509706083588913,1.8164883520703,1.51993665706175,0.217629079172726,0.550926615634852
"Bra001854",0.582072771039656,3.39265794976308,1.51954935393437,0.217687702166708,0.550988827957377
"Bra029562",-0.473808952920857,1.75155786325986,1.51922025612929,0.217737529878707,0.550988827957377
"Bra035050",-0.248499664747924,3.52256043356626,1.51918377863379,0.217743053663978,0.550988827957377
"Bra001688",-0.184579643375213,6.34922281086291,1.51912355998869,0.217752172935868,0.550988827957377
"Bra023528",0.514375287054851,7.84147339672872,1.51889943255816,0.217786117903052,0.550988827957377
"Bra102191",-0.371643044509957,1.624346822318,1.51886583546411,0.217791206856748,0.550988827957377
"Bra025055",-0.244308669911901,4.30963253229846,1.51837266106168,0.217865924328303,0.551062988314115
"Bra036807",-0.439414097427305,1.37745106366737,1.5183696710213,0.217866377422016,0.551062988314115
"Bra009524",0.276498633851182,4.95988959251398,1.5180545487077,0.217914135564551,0.551078640212637
"Bra015123",0.372533961697873,1.96869400427644,1.51802625797638,0.217918423757215,0.551078640212637
"Bra000837",-0.282116262299819,7.40681860675533,1.51787039330011,0.217942050887903,0.551080405159376
"Bra018009",-0.201804173836615,5.39523292612727,1.51685063285562,0.218096709178956,0.551413455544607
"Bra009165",-0.281767730151835,3.81274882432215,1.51649022566608,0.218151400335195,0.551449297639789
"Bra007464",-0.231969904866681,3.58800361344328,1.51645481548048,0.218156774650874,0.551449297639789
"Bra004377",0.360715001360261,2.21244014558269,1.51588279650422,0.218243613659335,0.551578456713687
"Bra016036",-0.265235609802656,2.90348456649062,1.51581590904426,0.218253770631071,0.551578456713687
"Bra004772",-0.830491418092031,3.66874256493599,1.51536068668986,0.218322911878523,0.551681809108061
"Bra028065",-0.298615142756049,4.13733667851132,1.51517279995994,0.218351456588567,0.551681809108061
"Bra030055",-0.179530627416036,5.1939272752668,1.51509334748586,0.218363528752808,0.551681809108061
"Bra101237",-0.297774194715522,3.4284010341844,1.51474109959143,0.218417059576577,0.551688543490253
"Bra004284",0.199981250047476,4.4196955211308,1.51458234384121,0.218441190675053,0.551688543490253
"Bra010090",-0.285525246706873,3.53686714137133,1.51450024780742,0.218453670635778,0.551688543490253
"Bra029653",0.376629020186084,1.74964839578127,1.5143701386851,0.218473451125647,0.551688543490253
"Bra018292",-0.278701131838879,2.99446808469208,1.51432070666227,0.218480966836158,0.551688543490253
"Bra021259",0.326952446209536,2.54441478578866,1.51390379627777,0.218544366717747,0.551790661802115
"Bra013207",-0.26661411016544,3.66239440804867,1.51346005037701,0.218611871611432,0.551903122091298
"Bra038432",-0.862294347110878,4.49772954878498,1.51304774258757,0.218674616275637,0.551963084616316
"Bra039462",0.264310014242403,6.60804380645383,1.51299280857273,0.218682977711331,0.551963084616316
"Bra021885",0.234171422566994,4.26569230173726,1.51275119652689,0.218719757698664,0.551963084616316
"Bra010553",-0.325707141423764,6.66168339088501,1.51259420748778,0.218743659696844,0.551963084616316
"Bra033570",0.283908133696355,3.27462870844613,1.5125495943622,0.218750452732396,0.551963084616316
"Bra039984",-0.405583674525032,1.55004841858415,1.51212693183141,0.218814822103579,0.55206754508056
"Bra040306",-0.194203718608597,5.36662566450184,1.51171166747735,0.218878086783047,0.552116381380067
"Bra028708",-0.292969361111157,5.81228452657941,1.5116983027584,0.218880123233306,0.552116381380067
"Bra002603",-0.186692312201407,5.19712017868338,1.51121348369877,0.218954012871223,0.552184557493456
"Bra027272",0.428877357758666,1.94097797418249,1.51103257413329,0.218981592314065,0.552184557493456
"Bra027317",0.378459578280138,2.77492915901453,1.51102263184148,0.218983108124517,0.552184557493456
"Bra006039",0.225040323685851,4.10789700387318,1.5109180637292,0.218999051428294,0.552184557493456
"Bra007871",-0.236815903875857,6.95706358111941,1.51037343741595,0.219082111981132,0.552232332360043
"Bra015633",-0.190415555582975,5.19346207753726,1.51034758095702,0.219086056265197,0.552232332360043
"Bra008013",0.196855324132576,6.47089389582114,1.51027172734997,0.219097627873645,0.552232332360043
"Bra016155",-0.234929815347795,4.0445732757613,1.5101912365744,0.219109907688498,0.552232332360043
"Bra029596",-0.181543318567832,4.93810835569714,1.50999769966561,0.219139437383469,0.552248845346996
"Bra037341",0.179772232311111,6.16545787235284,1.50889510360259,0.219307761193768,0.552540337942796
"Bra001316",0.341743508664795,3.90929052273442,1.50881276091052,0.219320337933094,0.552540337942796
"Bra018197",-0.202083856033782,4.87933799157606,1.50875728769979,0.219328811205748,0.552540337942796
"Bra006974",0.287266767604026,3.1369740083151,1.5084946243855,0.219368937101001,0.552540337942796
"Bra012116",0.313624316715596,2.41315312967639,1.50848730670496,0.219370055115676,0.552540337942796
"Bra035791",-0.214498244202745,5.5746474616906,1.50799096964126,0.219445902691758,0.552673459634675
"Bra021396",-0.212038430946518,6.16332115285105,1.50780577264869,0.219474211526247,0.552686839880745
"Bra011118",-0.200689627669146,5.7562617235267,1.50736502418735,0.219541600974848,0.552798621040281
"Bra019662",-0.249901084435599,6.15542848493425,1.50718109096929,0.219569731256575,0.552811535828673
"Bra034196",0.228960717570249,3.56619497185107,1.50694425501545,0.219605958687878,0.552844832000049
"Bra010516",-0.184690379269994,4.78836560004304,1.50661383581027,0.219656512935507,0.552914184320484
"Bra007619",-0.351940518157877,1.80459447341722,1.50603336770118,0.21974535840393,0.553079897777784
"Bra015534",0.273156600161434,3.11689619098568,1.50583542562103,0.219775664896015,0.553098254461866
"Bra018067",1.51609626522616,6.18715100065171,1.50565028100014,0.219804016514342,0.553111688085613
"Bra012985",0.249116056630805,3.55898287703727,1.50535160080213,0.219849763302355,0.553125583748661
"Bra007523",0.314649829035747,2.30819449675655,1.50527918636827,0.219860856234839,0.553125583748661
"Bra002049",-0.286913304288509,3.59443243257418,1.50516348543317,0.219878581473525,0.553125583748661
