Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
IMB211_NDP_1_PETIOLE	IMB211_NDP_1_PETIOLE.fq	Conventional base calls	Illumina 1.5	34129.0	3 Mbp	0.0	44-94	46.0	98.44706847549006	88.9633449559026	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_1_SILIQUE	IMB211_NDP_1_SILIQUE.fq	Conventional base calls	Illumina 1.5	21188.0	1.8 Mbp	0.0	44-94	46.0	99.18821974702662	88.10883518973003	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_2_INTERNODE	IMB211_NDP_2_INTERNODE.fq	Conventional base calls	Illumina 1.5	9918.0	876.4 kbp	0.0	44-94	46.0	99.70760233918129	88.19782214156079	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_2_LEAF	IMB211_NDP_2_LEAF.fq	Conventional base calls	Illumina 1.5	12174.0	1 Mbp	0.0	44-94	46.0	99.39214719894858	88.68325940528996	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_2_PETIOLE	IMB211_NDP_2_PETIOLE.fq	Conventional base calls	Illumina 1.5	15024.0	1.3 Mbp	0.0	44-94	46.0	99.38764643237486	88.59158679446219	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_2_SILIQUE	IMB211_NDP_2_SILIQUE.fq	Conventional base calls	Illumina 1.5	11511.0	1 Mbp	0.0	44-94	46.0	99.46138476240118	88.53757275649379	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_3_INTERNODE	IMB211_NDP_3_INTERNODE.fq	Conventional base calls	Illumina 1.5	14912.0	1.3 Mbp	0.0	44-94	46.0	99.32269313304721	88.54721030042919	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_3_LEAF	IMB211_NDP_3_LEAF.fq	Conventional base calls	Illumina 1.5	15514.0	1.3 Mbp	0.0	44-94	46.0	99.30385458295733	88.94456619827253	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_3_PETIOLE	IMB211_NDP_3_PETIOLE.fq	Conventional base calls	Illumina 1.5	16808.0	1.4 Mbp	0.0	44-94	46.0	99.10161827701096	88.49595430747263	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_NDP_3_SILIQUE	IMB211_NDP_3_SILIQUE.fq	Conventional base calls	Illumina 1.5	11028.0	975 kbp	0.0	44-94	46.0	99.58287994196591	88.23993471164309	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
